main.cpp:7:main| ***** main start *****  
skp_cpp.cpp:143:move_forward_test| ========== start fun_forward_test(std::move(m)) ==========  
skp_cpp.cpp:91:fun_forward_test|in t = 3 
skp_cpp.cpp:92:fun_forward_test| ========== start fun(std::forward<T>(t)) ==========  
skp_cpp.cpp:50:fun|const rvalue ref 
skp_cpp.cpp:92:fun_forward_test| ========== end fun(std::forward<T>(t)) ==========  
skp_cpp.cpp:93:fun_forward_test|out t = 3 
skp_cpp.cpp:143:move_forward_test| ========== end fun_forward_test(std::move(m)) ==========  
skp_cpp.cpp:144:move_forward_test| ========== start fun_test_1(std::move(m)) ==========  
skp_cpp.cpp:99:fun_test_1|in t = 3 
skp_cpp.cpp:100:fun_test_1| ========== start fun_1(t) ==========  
skp_cpp.cpp:70:fun_1|const lvalue ref 
skp_cpp.cpp:100:fun_test_1| ========== end fun_1(t) ==========  
skp_cpp.cpp:101:fun_test_1|out t = 3 
skp_cpp.cpp:144:move_forward_test| ========== end fun_test_1(std::move(m)) ==========  
skp_cpp.cpp:145:move_forward_test| ========== start fun_forward_test_1(std::move(m)) ==========  
skp_cpp.cpp:107:fun_forward_test_1|in t = 3 
skp_cpp.cpp:108:fun_forward_test_1| ========== start fun_1(std::forward<T>(t)) ==========  
skp_cpp.cpp:76:fun_1|const rvalue ref 
skp_cpp.cpp:108:fun_forward_test_1| ========== end fun_1(std::forward<T>(t)) ==========  
skp_cpp.cpp:109:fun_forward_test_1|out t = 3 
skp_cpp.cpp:145:move_forward_test| ========== end fun_forward_test_1(std::move(m)) ==========  
skp_cpp.cpp:181:cpp_test| ========== end move_forward_test() ==========  
main.cpp:9:main| ========== end cpp_test() ==========  
main.cpp:10:main| ========== start lua_test() ==========  
skp_lua.cpp:327:lua_test| ========== start lua_test_1() ==========  
skp_lua.cpp:51:lua_test_1| ========== start loadFile(lua_config_path + "func.lua", data) ==========  
skp_lua.cpp:51:lua_test_1| ========== end loadFile(lua_config_path + "func.lua", data) ==========  
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:49:skp_lua_bindIn|*******star skp_lua_bindIn*********** 
skp_lua_call.cpp:108:skp_lua_bindIn|index[1], name[FIELD_INT32] type[5], size[4], data[10] 
skp_lua_call.cpp:108:skp_lua_bindIn|index[2], name[FIELD_INT32] type[5], size[4], data[15] 
skp_lua_call.cpp:173:skp_lua_bindIn|bindIn size = [2] 
skp_lua_call.cpp:174:skp_lua_bindIn|*******end skp_lua_bindIn*********** 
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:181:skp_lua_bindOut|*******start skp_lua_bindOut*********** 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -1 
skp_lua_call.cpp:282:skp_lua_bindOut|index[1], name[FIELD_INT32] type[5], size[4], data[25] 
skp_lua_call.cpp:409:skp_lua_bindOut|bindOut size = [1] 
skp_lua_call.cpp:410:skp_lua_bindOut|*******end skp_lua_bindOut*********** 
skp_lua.cpp:55:lua_test_1|10 + 15 = 25 
skp_lua.cpp:78:lua_test_1| ========== start loadFile(lua_config_path + "func.lua", data) ==========  
skp_lua.cpp:78:lua_test_1| ========== end loadFile(lua_config_path + "func.lua", data) ==========  
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:49:skp_lua_bindIn|*******star skp_lua_bindIn*********** 
skp_lua_call.cpp:108:skp_lua_bindIn|index[1], name[FIELD_INT32] type[5], size[4], data[10] 
skp_lua_call.cpp:108:skp_lua_bindIn|index[2], name[FIELD_INT32] type[5], size[4], data[15] 
skp_lua_call.cpp:173:skp_lua_bindIn|bindIn size = [2] 
